  1.37,   0.0708,   0.7378
  1.40,   0.3109,   0.1202
  1.42,   0.1945,  -0.0231
  1.45,   0.0972,  -0.1347
  1.47,   0.3094,  -0.0639
  1.50,  -0.0751,  -0.0816
  1.52,  -0.0556,  -0.1640
  1.55,  -0.1403,  -0.0061
  1.57,  -0.0575,  -0.0916
  1.60,   0.0385,  -0.0551
  1.62,  -0.0782,  -0.2083
  1.65,  -0.0053,   0.2627
  1.67,  -0.2246,   0.0503
  1.70,   0.1954,  -0.0380
  1.72,  -0.0683,   0.4360
  1.75,  -0.3999,   0.0983
  1.77,   0.0352,   0.1776
  1.80,  -0.0884,   0.0093
  1.82,   0.0535,  -0.1847
  1.85,  -0.1077,   0.0658
  1.87,  -0.3383,   0.0846
  1.90,  -0.1193,   0.0199
  1.92,   0.0975,   0.0509
  1.95,  -0.2255,  -0.0101
  1.97,  -0.1026,   0.0042
  2.00,   0.1434,   0.0116
  2.02,  -0.0555,   0.1023
  2.05,  -0.5398,   0.0573
  2.07,   0.2753,  -0.3850
  2.10,  -0.0689,  -0.1255
  2.12,  -0.0500,   0.3733
  2.15,   0.2480,   0.4819
  2.17,   0.4320,  -0.1221
  2.20,   0.0154,  -0.1709
  2.22,   0.0172,  -0.0831
  2.25,  -0.2884,  -0.0119
  2.27,  -0.6961,   0.3178
  2.30,  -0.0056,  -0.1021
  2.32,  -0.0187,   0.4008
  2.35,  -0.1752,  -0.1582
  2.37,  -0.1190,   0.1652
  2.40,   0.1910,  -0.1697
  2.42,  -0.1192,  -0.2785
  2.45,  -0.3388,  -0.0115
  2.47,  -0.1471,   0.0107
  2.50,  -0.0609,   0.0469
